practice_code,practice_name,scenarios,units,has_labour_line,has_time_unit,names_foregone_income,source
468,Lined Waterway or Outlet,5,CuYd|No|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
472,Access Control,3,Ea|Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
484,Mulching,7,Ac|Ea|SqFt|kSqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
490,Tree/Shrub Site Preparation,20,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
500,Obstruction Removal,10,Ac|CuYd|Ft|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
511,Forage Harvest Management,3,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
512,Pasture and Hay Planting,6,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
516,Livestock Pipeline,11,Lb|Lnft|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
520,"Pond Sealing or Lining, Compacted Soil Treatment",5,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
521,"Pond Sealing or Lining, Geomembrane or Geosynthetic Clay Liner",2,SqYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
522,Pond Sealing or Lining - Concrete,2,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
527,Sinkhole Treatment,6,Cu-Ft|Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
528,Grazing Management,9,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
533,Pumping Plant,24,BHP|Ea|Ft|GPM|HP|kw,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
548,Grazing Land Mechanical Treatment,1,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
550,Range Planting,3,Ac,False,False,True,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
554,Drainage Water Management,1,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
555,Rock Wall Terrace,3,Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
557,Row Arrangement,1,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
558,Roof Runoff Structure,13,Ea|Ft|Gal|Lnft|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
560,Access Road,8,CuYd|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
561,Heavy Use Area Protection,5,CuYd|No|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
570,Stormwater Runoff Control,3,Ac|Ea|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
572,Spoil Disposal,1,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
574,Spring Development,4,Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
575,Trails and Walkways,10,CuYd|No|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
576,Livestock Shelter Structure,2,Ft|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
578,Stream Crossing,4,DiaInFt|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
580,Streambank and Shoreline Protection,9,Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
582,Open Channel,3,CuYd|Lnft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
584,Channel Bed Stabilization,3,CuYd|Ea|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
585,Stripcropping,1,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
587,Structure for Water Control,19,CuYd|DiaInFt|Ea|Ft|In|Lb|No|Ton,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
590,Nutrient Management,5,Ac|Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
591,Amendments for Treatment of Agricultural Waste,3,Ton|kSqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
592,Feed Management,3,AU|Ea|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
595,Pest Management Conservation System,12,Ac|Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
600,Terrace,4,Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
601,Vegetative Barrier,2,Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
603,Herbaceous Wind Barriers,2,Ft|Lnft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
604,Saturated Buffer,1,Ft,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
605,Denitrifying Bioreactor,6,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
606,Subsurface Drain,5,Ft|Lb|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
607,"Surface Drain, Field Ditch",1,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
608,"Surface Drain, Main or Lateral",1,CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
610,Salinity and Sodic Soil Management,2,Ac,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
612,Tree/Shrub Establishment,12,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
614,Watering Facility,12,Gal|No|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
620,Underground Outlet,5,Lb|Lnft|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
624,Phosphorous Removal System,4,CuYd|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
629,Waste Treatment,8,AU|Ea|Gal/Day|HP|SqFt|kSqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
630,Vertical Drain,3,Cu-Ft|CuYd,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
632,Waste Separation Facility,5,Cu-Ft|Ea|SqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
633,Waste Recycling,2,Ea|Ton,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
634,Waste Transfer,13,CuYd|Ea|Gal|HP|Lb|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
