statefp,countyfp,parcels,area_m2,area_parcels,government_parcels,ownertype_known
13,227,22462,647767003.3,22462,91,21885
13,229,12897,867173869.5,12897,69,12860
13,231,10282,549273661.5,10282,59,9956
13,233,24000,780462170.3,24000,303,23833
13,235,6881,631274050.3,6881,40,6824
13,237,19436,866450416.2,19436,54,19352
13,239,3030,462882212.8,3030,134,3000
13,241,17409,953390343.0,17409,115,17107
13,243,5733,1232519018.3,5733,71,5545
13,245,83025,772544991.2,83025,0,0
13,247,31365,260077282.5,31365,112,31061
13,249,3190,482389076.1,3190,17,3004
13,251,11085,1629916963.6,11085,102,9748
13,253,7979,608815958.6,7979,42,7797
13,255,33445,489017426.9,33445,399,33266
13,257,17318,458748451.1,17318,205,17289
13,259,4068,1182346546.6,4068,75,3946
13,261,16270,1228540451.3,16270,292,16148
13,263,6683,1000060653.7,6683,108,6611
13,265,2478,419559374.9,2478,6,8
13,267,13152,1240793288.7,13152,132,12341
13,269,6454,960868678.6,6454,79,6320
13,271,8830,1121328914.0,8830,150,8786
13,273,6516,873026706.9,6516,115,6442
13,275,24591,1430013722.5,24591,257,24456
13,277,19193,665400482.3,19193,251,19180
13,279,16393,925344854.3,16393,202,16393
13,281,15042,1432483378.5,15042,203,14392
13,283,4384,563516155.8,4384,24,2869
13,285,35784,951674830.4,35784,0,1
13,287,5693,727646324.0,5693,88,5668
13,289,7247,923532612.0,7247,54,7026
13,291,24301,835502782.3,24301,0,0
13,293,15816,821200861.6,15816,0,0
13,295,35027,1132036071.5,35027,302,34867
13,297,43241,889170984.9,43241,126,43060
13,299,24913,2324810707.3,24913,0,0
13,301,4864,856894523.0,4864,47,4818
13,303,12497,1744754944.4,12497,0,0
13,305,17926,1850066783.9,17926,117,13557
13,307,2118,628404415.3,2118,12,2064
13,309,4126,827980511.0,4126,38,2516
13,311,19952,1543806024.0,19952,187,19707
13,313,43910,716391336.8,43910,0,1
13,315,6238,1015283785.6,6238,45,4307
13,317,7978,1662216174.6,7978,73,7853
13,319,7727,1157856853.6,7727,0,0
13,321,12408,1449292952.3,12408,139,12263
15,001,135995,7002162307.9,135995,3758,7857
15,003,340052,2864321675.0,340052,6943,21714
15,005,11,69478242.4,11,1,2
15,007,39395,3712065047.8,39395,2089,39213
15,009,81826,4964725481.6,81826,4240,81826
16,001,219179,2651486373.4,219179,87,111060
16,003,7620,3541231888.5,7620,217,6262
16,005,45826,2900334493.1,45826,2416,44625
16,007,12472,2499027420.1,12472,273,11522
16,009,11702,2012852707.1,11702,783,11454
16,011,37524,5479823362.6,37524,1546,34012
16,013,24805,6841866596.6,24805,1213,24796
16,015,12230,2882961233.1,12230,253,10943
16,017,45654,4487370650.5,45654,2337,45651
16,019,65407,4828741256.2,65407,3169,63903
16,021,10785,3281888132.0,10785,0,0
16,023,5595,5799756197.7,5595,2421,4644
16,025,4648,2851688357.4,4648,350,4598
16,027,110305,1521353011.9,110305,10,13
16,029,9152,4684829181.1,9152,1417,9132
16,031,19501,6643763587.7,19501,2551,2559
16,033,3925,4369413975.7,3925,292,3835
16,035,11616,6366994653.0,11616,1442,11563
16,037,4828,591206930.9,4828,243,4740
16,039,21608,8016837935.9,21608,2782,2813
16,041,10940,1738460369.6,10940,181,10451
16,043,22782,4888643253.7,22782,2886,22752
16,045,11839,1457717761.4,11839,383,390
16,047,10098,1915200275.0,10098,817,10021
16,049,19406,3281944625.8,19406,405,19404
16,051,18030,2823459973.3,18030,488,17881
16,053,18781,1805733773.6,18781,720,18410
16,055,91745,3250215101.7,91745,1641,91634
16,057,20843,2800064421.2,20843,828,20444
16,059,11643,8564372329.9,11643,3020,10689
16,061,3402,823985992.9,3402,163,3401
16,063,4928,3138491135.3,4928,28,1292
16,065,17702,1209378588.0,17702,823,17533
16,067,13124,1930151071.8,13124,837,13089
16,069,28183,2458157933.0,28183,1019,27588
16,071,10549,3093731320.9,10549,88,7847
16,073,14166,13938906357.2,14166,4584,13666
