sample,code,minutes_per_day
NL1980,19,35.4160
NL1980,20,28.9758
NL1980,21,14.3685
NL1980,22,13.9268
NL1980,23,2.3536
NL1980,24,22.9202
NL1980,25,3.3642
NL1980,26,3.9285
NL1980,27,7.5902
NL1980,28,12.0715
NL1980,29,1.3364
NL1980,30,8.7554
NL1980,31,1.3328
NL1980,32,13.1523
NL1980,33,19.1067
NL1980,34,3.3754
NL1980,36,3.1473
NL1980,37,1.9038
NL1980,38,2.2808
NL1980,39,11.1272
NL1980,40,10.1423
NL1980,41,0.0018
NL1980,42,6.4258
NL1980,43,5.1349
NL1980,45,0.1217
NL1980,46,11.2406
NL1980,48,71.9571
NL1980,49,28.2385
NL1980,50,12.9783
NL1980,51,0.3912
NL1980,52,5.0389
NL1980,53,1.1538
NL1980,54,23.1953
NL1980,55,8.1449
NL1980,56,49.0479
NL1980,57,4.8200
NL1980,58,8.8704
NL1980,59,84.9340
NL1980,63,12.2471
NL1980,64,3.2594
NL1980,65,2.7758
NL1980,66,2.9202
NL1980,67,19.8252
NL1980,68,17.6883
NL1985,1,0.0054
NL1985,2,496.7429
NL1985,3,0.0010
NL1985,4,49.9997
NL1985,5,6.1969
NL1985,6,76.0847
NL1985,7,114.0777
NL1985,8,9.8206
NL1985,9,1.7653
NL1985,11,5.8013
NL1985,12,6.2886
NL1985,13,2.5388
NL1985,15,10.5624
NL1985,16,11.1621
NL1985,17,7.0394
NL1985,18,31.1558
NL1985,19,31.8142
NL1985,20,27.4584
NL1985,21,14.6217
NL1985,22,20.5373
NL1985,23,2.3077
NL1985,24,24.1735
NL1985,25,3.2954
NL1985,26,3.8476
NL1985,27,9.1112
NL1985,28,12.8837
NL1985,29,0.7375
NL1985,30,5.7310
NL1985,31,3.0165
NL1985,32,3.0120
NL1985,33,27.5258
NL1985,34,5.0526
NL1985,36,3.7892
NL1985,37,1.6822
NL1985,38,3.7752
NL1985,39,12.4764
NL1985,40,10.4702
NL1985,42,8.4975
NL1985,43,6.8424
NL1985,45,0.0742
NL1985,46,7.6660
NL1985,48,66.1756
NL1985,49,24.0276
NL1985,50,11.4198
NL1985,51,0.1419
NL1985,52,5.1398
NL1985,53,1.7487
NL1985,54,22.5565
NL1985,55,8.7713
NL1985,56,46.2103
NL1985,57,2.9688
NL1985,58,6.6346
NL1985,59,100.0884
NL1985,61,0.9870
NL1985,63,14.1222
NL1985,64,4.2668
NL1985,65,3.2935
NL1985,66,3.5681
NL1985,67,15.9577
NL1985,68,22.2794
NL1990,1,0.4258
NL1990,2,500.6381
NL1990,3,0.0391
NL1990,4,51.0321
NL1990,5,6.8895
NL1990,6,73.0238
NL1990,7,125.5211
NL1990,8,10.7853
NL1990,9,3.1728
NL1990,11,6.4718
NL1990,12,6.7246
NL1990,13,4.0793
NL1990,15,13.8393
NL1990,16,11.8862
NL1990,17,6.9203
NL1990,18,28.2191
NL1990,19,28.3434
NL1990,20,22.7367
NL1990,21,13.1425
NL1990,22,18.5885
NL1990,23,2.6709
NL1990,24,23.3186
NL1990,25,3.2693
NL1990,26,3.6295
NL1990,27,7.8103
NL1990,28,10.8586
NL1990,29,0.9705
NL1990,30,6.3917
NL1990,31,3.5700
NL1990,32,2.6547
NL1990,33,23.9902
NL1990,34,6.0482
NL1990,36,3.2439
NL1990,37,1.9204
NL1990,38,4.2733
NL1990,39,14.8849
NL1990,40,10.9152
NL1990,41,0.0894
NL1990,42,10.3275
NL1990,43,5.0058
NL1990,45,0.1237
NL1990,46,7.7073
NL1990,48,63.4491
NL1990,49,24.0847
NL1990,50,11.8051
NL1990,51,0.3028
NL1990,52,4.4588
NL1990,53,1.1544
NL1990,54,13.2496
NL1990,55,9.8564
NL1990,56,43.9030
NL1990,57,3.3160
NL1990,58,5.9488
NL1990,59,99.2340
NL1990,61,4.0087
NL1990,63,15.8273
NL1990,64,4.8967
NL1990,65,3.4789
NL1990,66,4.0510
NL1990,67,19.0276
NL1990,68,21.7791
NL1990,69,0.0148
NL1995,1,0.0277
NL1995,2,500.8815
NL1995,3,0.0030
NL1995,4,52.5857
NL1995,5,6.8529
NL1995,6,68.7268
NL1995,7,134.0659
NL1995,8,7.8026
NL1995,9,3.7862
NL1995,11,8.3916
NL1995,12,6.9725
NL1995,13,4.1584
NL1995,15,9.9995
NL1995,16,8.6027
NL1995,17,7.1906
NL1995,18,27.9508
NL1995,19,25.3476
NL1995,20,23.8358
NL1995,21,13.5625
NL1995,22,15.6799
NL1995,23,3.4515
NL1995,24,24.3554
NL1995,25,2.9412
NL1995,26,3.9439
NL1995,27,8.3302
NL1995,28,10.3557
NL1995,29,1.0100
NL1995,30,8.4153
NL1995,31,2.1146
NL1995,32,11.9198
NL1995,33,20.6390
NL1995,34,2.9200
NL1995,36,3.0957
NL1995,37,2.0423
NL1995,38,3.0922
NL1995,39,16.0281
NL1995,40,13.0018
NL1995,41,0.0042
NL1995,42,10.2624
NL1995,43,6.4575
NL1995,45,0.1344
NL1995,46,11.4682
NL1995,48,60.7751
NL1995,49,21.4407
NL1995,50,8.7967
NL1995,51,0.1116
NL1995,52,4.8447
NL1995,53,1.3303
NL1995,54,9.7442
NL1995,55,11.1543
NL1995,56,38.8213
NL1995,57,2.4046
NL1995,58,4.2390
NL1995,59,101.4930
NL1995,61,7.7595
NL1995,63,16.6610
NL1995,64,5.2045
NL1995,65,3.3202
NL1995,66,4.7058
NL1995,67,20.2010
NL1995,68,24.5844
NL1995,69,0.0007
NL2000,1,0.1438
NL2000,2,511.5613
NL2000,3,0.0102
NL2000,4,51.8829
NL2000,5,8.3950
NL2000,6,69.6844
NL2000,7,157.7725
NL2000,8,9.5319
NL2000,9,2.1349
NL2000,11,5.5525
NL2000,12,7.4862
NL2000,13,3.6763
NL2000,15,7.6241
NL2000,16,6.1261
NL2000,17,5.6464
NL2000,18,27.5655
NL2000,19,23.1247
NL2000,20,22.1957
NL2000,21,12.4107
NL2000,22,15.3979
NL2000,23,3.1858
NL2000,24,25.6929
NL2000,25,2.8037
NL2000,26,3.8763
NL2000,27,9.7392
NL2000,28,11.6024
NL2000,29,1.0479
NL2000,30,6.6180
NL2000,31,5.3923
NL2000,32,2.6087
NL2000,33,22.4450
NL2000,34,3.2788
NL2000,36,2.5960
NL2000,37,2.6832
NL2000,38,4.0578
NL2000,39,16.8020
NL2000,40,13.4679
NL2000,42,9.9916
NL2000,43,4.7464
NL2000,45,0.0944
NL2000,46,6.1682
NL2000,48,54.9181
NL2000,49,18.5777
NL2000,50,6.7793
NL2000,51,0.1340
NL2000,52,2.9457
NL2000,53,0.7308
NL2000,54,9.3672
NL2000,55,11.0082
NL2000,56,31.7343
NL2000,57,1.8157
NL2000,58,34.4741
NL2000,59,69.8483
NL2000,61,14.1765
NL2000,63,21.1846
NL2000,64,4.7438
NL2000,65,2.5909
NL2000,66,4.1769
NL2000,67,18.7803
NL2000,68,25.1919
US1965,2,477.5068
US1965,4,62.2244
US1965,5,10.9600
US1965,6,68.8750
US1965,7,237.7744
US1965,8,7.5870
US1965,9,5.2511
US1965,12,8.0913
US1965,13,4.3277
US1965,15,2.4953
US1965,16,4.8183
US1965,17,7.2060
US1965,18,40.6400
US1965,19,20.0114
US1965,20,33.8801
US1965,21,23.1347
US1965,22,6.2095
US1965,23,11.5089
US1965,24,15.6808
US1965,25,2.9682
US1965,26,15.7577
US1965,27,0.9499
US1965,28,19.7665
US1965,29,1.6236
US1965,30,5.4594
US1965,31,1.9985
US1965,32,5.5166
US1965,33,8.3990
US1965,34,7.2259
US1965,35,0.9543
US1965,36,1.2057
US1965,37,3.8355
US1965,38,3.4022
US1965,39,3.6843
US1965,40,14.3593
US1965,42,5.1545
US1965,43,1.1698
US1965,46,4.8045
US1965,48,39.1742
US1965,49,12.4211
US1965,50,4.7375
US1965,51,2.4253
US1965,52,1.7345
US1965,53,5.1584
US1965,54,7.6608
US1965,55,4.2436
US1965,56,30.9602
US1965,57,0.8449
US1965,58,3.4425
US1965,59,92.4023
US1965,63,24.2812
US1965,64,1.4544
US1965,65,3.6832
US1965,66,4.0897
US1965,67,26.0307
US1965,68,18.8378
US1975,1,3.8302
US1975,2,503.7955
US1975,3,2.5177
US1975,4,44.3107
US1975,5,8.1246
US1975,6,75.2817
US1975,7,192.4904
US1975,8,10.3936
US1975,9,4.3517
US1975,12,4.1578
US1975,13,2.7388
US1975,14,0.8104
US1975,15,5.0566
US1975,16,5.4215
US1975,17,2.3035
US1975,18,40.5344
US1975,19,12.2187
US1975,20,37.1545
US1975,21,12.3058
US1975,22,10.9565
US1975,23,6.3893
US1975,24,20.3429
US1975,25,3.6540
US1975,26,3.7595
US1975,27,3.4841
US1975,28,12.9879
US1975,29,0.8992
US1975,30,4.5171
US1975,31,3.8170
US1975,32,9.9668
US1975,33,10.7605
US1975,34,8.3618
US1975,35,1.2114
US1975,36,2.1792
US1975,37,3.0306
US1975,38,1.2634
US1975,39,3.9636
US1975,40,5.6541
US1975,41,0.9607
US1975,42,7.6085
US1975,43,1.8709
US1975,44,0.2308
US1975,45,4.8173
US1975,46,9.3317
US1975,48,41.3134
US1975,49,16.7976
US1975,50,7.0774
US1975,51,2.3589
US1975,52,1.6962
US1975,53,1.6821
US1975,54,9.7647
US1975,55,12.1505
US1975,56,29.5460
US1975,57,3.4503
US1975,58,2.8943
US1975,59,122.3908
US1975,62,0.4699
US1975,63,19.9172
US1975,64,1.7684
US1975,65,8.2211
US1975,66,3.2771
US1975,67,26.3701
US1975,68,17.5251
US1975,69,1.5115
US1985,1,4.0870
US1985,2,489.0750
US1985,3,0.8639
US1985,4,62.6821
US1985,5,7.8410
US1985,6,55.7751
US1985,7,196.1427
US1985,8,16.7353
US1985,9,3.1219
US1985,12,2.2217
US1985,13,1.9933
US1985,14,0.9407
US1985,15,6.1010
US1985,16,5.5069
US1985,17,3.5206
US1985,18,34.5106
US1985,19,11.0857
US1985,20,31.1651
US1985,21,10.2380
US1985,22,9.6290
US1985,23,12.0649
US1985,24,23.2281
US1985,25,2.7938
US1985,26,4.9245
US1985,27,5.4067
US1985,28,12.4676
US1985,29,1.0836
US1985,30,5.1490
US1985,31,1.3098
US1985,32,5.4349
US1985,33,7.8567
US1985,34,6.8075
US1985,35,1.0136
US1985,36,2.0148
US1985,37,3.4848
US1985,38,1.9528
US1985,39,20.3760
US1985,40,5.6376
US1985,41,1.4542
US1985,42,14.0395
US1985,43,2.6046
US1985,44,0.4084
US1985,45,1.3431
US1985,46,11.9313
US1985,48,26.6575
US1985,49,24.8190
US1985,50,7.1292
US1985,51,1.3878
US1985,52,1.7628
US1985,53,2.7245
US1985,54,5.9954
US1985,55,7.4651
US1985,56,22.1565
US1985,57,1.2427
US1985,58,2.9577
US1985,59,132.6838
US1985,61,0.9763
US1985,62,0.0415
US1985,63,24.7783
US1985,64,1.9307
US1985,65,6.4806
US1985,66,3.8701
US1985,67,28.2690
US1985,68,23.0299
US1985,69,5.6176
US1993,2,493.8859
US1993,4,49.9153
US1993,6,50.2581
US1993,7,228.0039
US1993,8,8.5319
US1993,9,0.4768
US1993,11,0.8049
US1993,12,0.6927
US1993,14,0.6608
US1993,15,11.0345
US1993,16,7.8072
US1993,17,0.8650
US1993,18,29.4852
US1993,19,4.4192
US1993,20,39.4143
US1993,21,9.8290
US1993,22,8.9251
US1993,23,12.1490
US1993,24,24.0375
US1993,25,3.3775
US1993,26,3.1467
US1993,27,3.8537
US1993,28,10.6141
US1993,29,1.3584
US1993,30,5.1367
US1993,31,3.2710
US1993,32,4.4585
US1993,33,4.6131
US1993,34,8.8029
US1993,36,3.2183
US1993,37,4.2693
