year,recipient_age,household_member,minutes_per_recipient_day,recipient_days,n_records,comparable
2016,63,1,122.971748,87611225.7,6,true
2016,64,0,10.000748,164944718.7,31,true
2016,64,1,139.794332,176749045.4,8,true
2016,65,0,19.997129,553380876.9,63,true
2016,65,1,38.243568,163028494.3,10,true
2016,66,0,30.175795,241783406.0,31,true
2016,66,1,30.290365,53076217.9,5,true
2016,67,0,30.037851,296385923.1,49,true
2016,67,1,107.343691,124547828.7,11,true
2016,68,0,9.324462,527486419.1,57,true
2016,68,1,209.084077,81247144.7,7,true
2016,69,0,19.496617,411817990.8,47,true
2016,69,1,0.000000,42795204.9,2,true
2016,70,0,7.254093,853771223.5,91,true
2016,70,1,163.716124,73273606.2,8,true
2016,71,0,8.728160,311156233.0,35,true
2016,71,1,174.925259,83227573.3,6,true
2016,72,0,23.406655,426121343.6,55,true
2016,72,1,47.382297,118820053.0,8,true
2016,73,0,25.227587,395809080.9,47,true
2016,73,1,67.381469,55666769.2,7,true
2016,74,0,44.617740,671563792.9,84,true
2016,74,1,270.727820,93923930.1,7,true
2016,75,0,23.211430,813041563.3,102,true
2016,75,1,159.932809,80446702.4,8,true
2016,76,0,5.827401,572641132.2,63,true
2016,76,1,53.731418,77405493.9,5,true
2016,77,0,16.458386,341537900.4,48,true
2016,77,1,79.116551,42626459.7,5,true
2016,78,0,22.733854,704841275.5,84,true
2016,78,1,13.348106,66566224.3,5,true
2016,79,0,36.606813,619136615.6,74,true
2016,79,1,13.290037,105594826.0,5,true
2016,80,0,21.793309,3652964497.7,440,true
2016,80,1,131.834459,664656003.3,49,true
2016,85,0,31.639606,6478721248.5,699,true
2016,85,1,175.202146,720938907.7,56,true
2017,18,1,75.000000,17163758.9,1,true
2017,26,1,0.000000,16625539.5,1,true
2017,30,1,1290.000000,7355418.7,1,true
2017,31,1,28.028695,14464055.3,1,true
2017,33,0,0.000000,16571216.7,1,true
2017,33,1,0.000000,4090742.9,1,true
2017,36,1,90.000000,10000616.1,1,true
2017,37,0,0.000000,10102200.9,1,true
2017,39,0,0.000000,3499241.0,1,true
2017,40,0,0.000000,33745391.3,4,true
2017,41,0,222.895321,7410770.7,1,true
2017,41,1,95.244955,69304919.1,2,true
2017,42,0,0.000000,23958879.3,2,true
2017,43,0,0.000000,4103113.7,1,true
2017,45,0,28.350951,87961659.2,2,true
2017,45,1,0.000000,11721867.7,1,true
2017,46,0,0.000000,50918112.2,6,true
2017,47,0,211.685820,19289710.9,2,true
2017,47,1,53.796591,30948079.5,2,true
2017,48,0,0.000000,89263871.6,9,true
2017,48,1,0.000000,9707868.7,1,true
2017,49,0,0.000000,5807630.1,1,true
2017,50,0,84.460766,67525876.4,9,true
2017,50,1,18.697093,24821788.6,2,true
2017,51,0,0.000000,7818346.4,2,true
2017,51,1,0.000000,9801952.0,1,true
2017,52,0,9.087128,41482618.3,6,true
2017,52,1,49.940633,72477548.3,3,true
2017,53,0,0.000000,79894242.8,4,true
2017,53,1,0.000000,12477859.0,1,true
2017,54,0,13.156942,118972662.8,8,true
2017,54,1,0.000000,29714037.3,1,true
2017,55,0,62.193453,212706065.0,20,true
2017,55,1,25.462297,72709778.8,3,true
2017,56,0,11.932744,221967757.6,19,true
2017,56,1,26.186924,17722405.7,1,true
2017,57,0,11.918354,170414336.9,20,true
2017,57,1,0.000000,14131974.9,1,true
2017,58,0,28.405641,150806076.2,20,true
2017,58,1,136.063117,83664189.0,3,true
2017,59,0,10.949748,136776733.7,20,true
2017,59,1,127.881248,96469693.2,6,true
2017,60,0,4.717775,307019979.0,39,true
2017,60,1,134.036904,25471871.0,4,true
2017,61,0,23.396879,94710319.4,18,true
2017,61,1,174.990158,58001758.2,6,true
2017,62,0,21.410739,298711440.0,37,true
2017,62,1,268.485048,77062340.8,8,true
2017,63,0,6.800973,232995034.2,24,true
2017,63,1,77.526456,72359113.9,6,true
2017,64,0,8.874318,196406175.3,27,true
2017,64,1,80.781737,148574298.2,8,true
2017,65,0,11.541408,320804294.1,45,true
2017,65,1,149.784012,86694627.8,5,true
2017,66,0,61.157365,299215790.2,31,true
2017,66,1,80.974824,81223194.0,5,true
2017,67,0,7.494825,404891495.5,43,true
2017,67,1,142.658872,170275176.7,16,true
2017,68,0,11.473300,468627961.6,45,true
2017,68,1,225.220344,135685220.4,12,true
2017,69,0,30.644152,289071831.5,32,true
2017,69,1,64.557380,62806753.3,7,true
2017,70,0,25.796407,729110901.4,88,true
2017,70,1,175.401653,59080902.1,6,true
2017,71,0,39.211570,343922807.9,33,true
2017,71,1,36.582409,65534068.8,7,true
2017,72,0,19.025902,593057770.3,79,true
2017,72,1,90.423990,66020496.3,5,true
2017,73,0,64.600865,480007801.0,57,true
2017,73,1,30.219917,98612256.2,8,true
2017,74,0,21.496747,581215799.4,57,true
2017,74,1,96.252638,93357387.6,9,true
2017,75,0,23.705027,697967878.1,84,true
2017,75,1,0.000000,104430496.8,5,true
2017,76,0,9.377113,561589916.5,62,true
2017,76,1,49.536251,67300859.3,7,true
2017,77,0,57.053701,381569657.5,44,true
2017,77,1,116.975355,137287324.5,10,true
2017,78,0,36.944941,799678612.0,72,true
2017,78,1,82.388406,294239586.4,13,true
