year,tier2,mean_minutes_per_day
2012,0603,10.166921
2012,0604,0.236531
2012,0699,0.424718
2012,0701,21.151803
2012,0702,0.066478
2012,0799,0.000659
2012,0801,0.018062
2012,0802,0.467365
2012,0803,0.036500
2012,0804,3.081615
2012,0805,0.878913
2012,0806,0.158339
2012,0807,0.111757
2012,0899,0.093893
2012,0901,0.058810
2012,0902,0.159021
2012,0903,0.040850
2012,0904,0.023333
2012,0905,0.451577
2012,0999,0.012460
2012,1001,0.302522
2012,1002,0.169267
2012,1003,0.071966
2012,1101,67.462779
2012,1102,0.142638
2012,1201,39.107790
2012,1202,5.500523
2012,1203,237.793807
2012,1204,4.885932
2012,1205,0.053331
2012,1301,19.283266
2012,1302,1.515448
2012,1303,0.036200
2012,1399,0.011317
2012,1401,8.969125
2012,1501,2.242395
2012,1502,1.769351
2012,1503,0.376378
2012,1504,0.617257
2012,1505,1.070953
2012,1506,0.099760
2012,1599,1.376585
2012,1601,4.820979
2012,1699,1.405914
2012,1801,1.013247
2012,1802,2.571129
2012,1803,4.528834
2012,1804,3.554870
2012,1805,16.628015
2012,1806,2.173182
2012,1807,13.587093
2012,1808,1.922353
2012,1809,0.385404
2012,1810,0.229890
2012,1811,7.220035
2012,1812,10.975257
2012,1813,2.786042
2012,1814,1.509284
2012,1815,1.002260
2012,1816,0.107416
2012,1818,0.056617
2012,1899,1.893532
2012,5001,12.362641
2013,0101,524.290592
2013,0102,41.789461
2013,0103,5.348379
2013,0104,0.289887
2013,0201,34.409656
2013,0202,34.354298
2013,0203,3.884429
2013,0204,3.057208
2013,0205,11.043384
2013,0206,6.078051
2013,0207,2.402798
2013,0208,1.058439
2013,0209,10.615684
2013,0299,0.048685
2013,0301,21.525236
2013,0302,2.494761
2013,0303,0.524256
2013,0304,1.327046
2013,0305,0.792386
2013,0399,0.007094
2013,0401,4.386959
2013,0402,0.096623
2013,0403,0.055599
2013,0404,0.552353
2013,0405,3.218500
2013,0501,188.293997
2013,0502,0.393277
2013,0503,1.181770
2013,0504,2.241391
2013,0599,0.000383
2013,0601,15.433416
2013,0602,0.337734
2013,0603,10.790730
2013,0604,0.213965
2013,0699,0.135856
2013,0701,22.038582
2013,0702,0.088982
2013,0801,0.012240
2013,0802,0.305774
2013,0803,0.012461
2013,0804,3.156843
2013,0805,0.902652
2013,0806,0.327375
2013,0807,0.149418
2013,0899,0.039153
2013,0901,0.026123
2013,0902,0.265707
2013,0903,0.032483
2013,0904,0.031245
2013,0905,0.370323
2013,0999,0.031641
2013,1001,0.361906
2013,1002,0.086806
2013,1003,0.053587
2013,1004,0.000270
2013,1099,0.001509
2013,1101,66.694389
2013,1102,0.184797
2013,1201,39.000540
2013,1202,4.100430
2013,1203,234.453793
2013,1204,5.019930
2013,1205,0.032219
2013,1299,0.006333
2013,1301,17.837250
2013,1302,1.576730
2013,1303,0.021647
2013,1399,0.014003
2013,1401,8.659106
2013,1499,0.019741
2013,1501,2.055195
2013,1502,2.569916
2013,1503,0.314083
2013,1504,0.870794
2013,1505,0.976368
2013,1506,0.071884
2013,1599,1.556200
2013,1601,4.346034
2013,1699,1.478161
2013,1801,0.805010
2013,1802,2.581557
2013,1803,5.129419
2013,1804,3.302113
2013,1805,15.732675
2013,1806,1.658088
2013,1807,13.928414
2013,1808,2.181254
2013,1809,0.298705
2013,1810,0.202116
2013,1811,6.765840
2013,1812,10.603446
2013,1813,2.894056
2013,1814,1.192697
