occ6,ep_employment_k,oews_median_wage,f_training,f_demand,f_scarcity,i_dependency,i_substitutability,i_harm,i_temporal,f_impact,composite,reference_multiplier,title,methodology_version,reference_epoch
131151,501.0,69280.0,0.7713442199212688,0.23055287760682266,0.39415742633933504,1.0,0.4272272006713175,0.1817947580125682,0.8488090615248184,0.6907704688672928,0.5405655878627764,2.155,Training and Development Specialists,mult-5.1.0,2026-07-29
131161,1004.7,78760.0,0.7678579721682843,0.019778265249399667,0.34183548094791383,0.9744673266512712,0.15783228524275583,0.3299503285188739,0.9799072311692536,0.6628081741749756,0.46937109769616187,1.871,Market Research Analysts and Marketing Specialists,mult-5.1.0,2026-07-29
131199,1242.0,83050.0,0.8289621082996202,0.20916439355782,0.29986717246907707,0.9768020719557513,0.0,0.3682417440845131,0.7315268218601729,0.4751375156587468,0.47973754428784315,1.91,"Business Operations Specialists, All Other",mult-5.1.0,2026-07-29
132031,51.0,91640.0,0.7680127066897986,0.13569240834303925,0.1479712711697134,0.9041028519449448,0.29419313352229703,0.6498804735252436,0.7229879170854663,0.7617578772410802,0.4843606376369121,1.928,Budget Analysts,mult-5.1.0,2026-07-29
132041,64.8,83510.0,0.7588112834350774,0.034551931589299846,0.06644090111006208,0.6966406416183466,0.39947920831434625,0.3807669734751429,0.8656089573003417,0.5840574135521021,0.39558390153788614,1.617,Credit Analysts,mult-5.1.0,2026-07-29
132052,357.2,105070.0,0.8367990266877536,0.0,0.28178991882398613,0.43240406903159406,0.3229520044497425,0.6298401065002361,0.9665943065003124,0.5461300381097574,0.44393020129856264,1.779,Personal Financial Advisors,mult-5.1.0,2026-07-29
132053,123.7,81370.0,0.7299184039072087,0.1878831017133662,0.13242649503061002,0.6503352774345661,0.424999214130345,0.5926222820252224,0.7781921624056469,0.6506168372881561,0.45508580492866524,1.819,Insurance Underwriters,mult-5.1.0,2026-07-29
132061,77.2,94160.0,0.8673580230831918,0.14059678254128544,0.41758078640134855,0.7769785515436856,0.26683989456537605,0.4122589788001546,0.8146525207449103,0.5569833982176204,0.5181186093949537,2.061,Financial Examiners,mult-5.1.0,2026-07-29
132071,32.9,52230.0,0.6538411812132039,0.16439808371304906,0.2047051238008535,0.8994493633573715,0.3664777383468609,0.5682875506377132,0.8544185688290756,0.8154526128108405,0.48205605325510426,1.919,Credit Counselors,mult-5.1.0,2026-07-29
132072,306.5,76690.0,0.8323310332823972,0.22330549355482718,0.18276261212987735,0.6347508284109405,0.43628663250710975,0.7601024921627849,0.6896879280284223,0.7037231066754076,0.5180089824682533,2.061,Loan Officers,mult-5.1.0,2026-07-29
132081,56.5,62370.0,0.7213457364005323,0.20852289453121448,0.18969245768503357,0.4727249467902103,0.32420320087002297,0.5969166463877239,0.6688622952237121,0.41436650677275744,0.4100645627831594,1.664,"Tax Examiners and Collectors, and Revenue Agents",mult-5.1.0,2026-07-29
132082,94.7,54920.0,0.6510790673233893,0.06817521476305563,0.42818255782072945,0.34544265902016064,0.35312329601794523,0.44231952933766583,0.8522356809568735,0.3360024672014232,0.38200465225228236,1.574,Tax Preparers,mult-5.1.0,2026-07-29
132099,141.4,81100.0,0.8473623896846835,0.19591424605109053,0.23146765965421617,0.9407271171920871,0.20963544135923018,0.5861807354814699,0.8295383382564409,0.7504135338371212,0.5370841938083012,2.14,"Financial Specialists, All Other",mult-5.1.0,2026-07-29
151211,566.5,105850.0,0.8077971274238865,0.25672365584333534,0.23659615886457858,0.9417775605674821,0.09635694732762812,0.421563434918908,0.7338216333011894,0.5402748086753255,0.48890798612974695,1.945,Computer Systems Analysts,mult-5.1.0,2026-07-29
151212,234.9,129180.0,0.9067649282233252,0.22222960142768905,0.4270982027661458,0.9106775984687265,0.3359310626171488,0.46951717030017603,0.5927550809619019,0.6219928919254033,0.5685047423584998,2.277,Information Security Analysts,mult-5.1.0,2026-07-29
151221,48.3,140300.0,0.8822230078803996,0.10250384910995394,0.3947525593515812,0.8699992593934259,0.39956005477728884,0.2963111410126112,0.7384907224594516,0.5971228013450933,0.518524076848198,2.063,Computer and Information Research Scientists,mult-5.1.0,2026-07-29
151231,155.5,76220.0,0.820545325480963,0.26508464779814356,0.16202882533427365,0.9588543063688159,0.36985938237462135,0.5138922687126928,0.5048983899821573,0.6611580067529428,0.5101300263489152,2.029,Computer Network Support Specialists,mult-5.1.0,2026-07-29
151232,702.5,61860.0,0.7310547690536878,0.20042723636667847,0.07945536798488433,0.9589698862101927,0.34602266627779255,0.5425213644627034,0.5610790822998409,0.6908311244933966,0.45802209452810194,1.83,Computer User Support Specialists,mult-5.1.0,2026-07-29
151241,200.6,134050.0,0.8726340390463794,0.2247965900545234,0.2521451615463311,0.9199629768585698,0.22444690902454645,0.45949698678767226,0.5254460767483936,0.5242979731490904,0.4994928848240835,1.986,Computer Network Architects,mult-5.1.0,2026-07-29
151242,77.5,104620.0,0.8271833158361426,0.18918131841290184,0.07067806650901097,0.9752603733074422,0.314351750010025,0.5854650080877195,0.8299907091996511,0.837157528982216,0.5188753199014244,2.064,Database Administrators,mult-5.1.0,2026-07-29
151243,72.7,139500.0,0.8703951083569862,0.07315700555347614,0.21051901009298565,0.924130779284156,0.1643448682807681,0.32637169155012236,0.9626871306784701,0.6204209258676728,0.47661681738098016,1.898,Database Architects,mult-5.1.0,2026-07-29
151244,317.7,99130.0,0.8773732145032461,0.21681639509797349,0.009877412630449105,0.9700570071753118,0.3553633309336184,0.3006055053751127,0.47615798750322214,0.5199592412656688,0.44938135596797424,1.799,Network and Computer Systems Administrators,mult-5.1.0,2026-07-29
151251,113.9,100390.0,0.8398793169120748,0.05182509516798546,0.004661076606590889,0.9007592840742145,0.3500335034307832,0.14600838832505483,0.8392845393963856,0.5481696340129647,0.40289469269017814,1.64,Computer Programmers,mult-5.1.0,2026-07-29
151252,1961.4,135980.0,0.8980050447097853,0.0,0.31219445177489136,0.8920552339005396,0.4330061419984387,0.10592765427503975,0.7523292491738057,0.5260870517797328,0.463362166712847,1.849,Software Developers,mult-5.1.0,2026-07-29
151253,221.9,104300.0,0.7090348630458969,0.16579952253548355,0.2651607555344662,0.8925535867477756,0.3312929613949176,0.33782332985012675,0.9429076633513481,0.694600420203015,0.480842595705287,1.914,Software Quality Assurance Analysts and Testers,mult-5.1.0,2026-07-29
151254,92.5,92650.0,0.6876063969766146,0.14086674809348226,0.21275939001842936,0.9162335467243058,0.3285937988585651,0.3779040639001417,0.950607065090024,0.7374107043861712,0.46840316021658357,1.868,Web Developers,mult-5.1.0,2026-07-29
151255,137.9,104000.0,0.6691619507620772,0.10385897031313895,0.24397324628940048,0.9465891232636452,0.22984651932428335,0.24477876866259182,1.0,0.6446404504411289,0.43666808967507026,1.754,Web and Digital Interface Designers,mult-5.1.0,2026-07-29
151299,510.5,116580.0,0.8101884632543002,0.14766738767981194,0.2353005970431302,0.9388723303478091,0.0,0.42442634449390915,0.738278530901603,0.48469840239301343,0.44820810590312243,1.794,"Computer Occupations, All Other",mult-5.1.0,2026-07-29
152011,40.9,130000.0,0.8020625551488237,0.040012778898815084,0.38111336520389916,0.7276696083376527,0.3465647643708507,0.34641205857512997,1.0,0.6182536426379847,0.48140804496962686,1.916,Actuaries,mult-5.1.0,2026-07-29
152021,2.4,126710.0,0.89702467494888,0.11834050481162998,0.03477688780048734,0.8286013202932321,0.643311858090616,0.031492005325011854,0.9998426375040224,0.6794251288402027,0.47550418845771963,1.894,Mathematicians,mult-5.1.0,2026-07-29
152031,136.2,88940.0,0.7913419872969322,0.029647557391053826,0.43656882274942344,0.9675053477221822,0.32222682668932245,0.2619562261125983,0.9061450602466395,0.6800831114348607,0.502149027945443,1.997,Operations Research Analysts,mult-5.1.0,2026-07-29
152041,34.9,105650.0,0.8407700758494265,0.11277213445742866,0.21930685645892267,0.9409055747822835,0.4662735585295288,0.25265176999384475,0.9557407820627423,0.7648618579113371,0.5155008921388039,2.05,Statisticians,mult-5.1.0,2026-07-29
152051,328.3,120230.0,0.8147167835383284,0.06838033564830345,0.4425112232150495,0.9610244894151242,0.16749723176983577,0.27770222877510403,0.9272477842184597,0.6028129419094437,0.5007155990939451,1.991,Data Scientists,mult-5.1.0,2026-07-29
152099,5.2,81490.0,0.8246701051911401,0.1137292549752053,0.16821494052516037,0.9040382640730479,0.6941441902329503,0.1760689388625661,0.8391464893886125,0.7730551604003747,0.5027401235062691,1.999,"Mathematical Science Occupations, All Other",mult-5.1.0,2026-07-29
171011,128.4,99280.0,0.8762479409251743,0.3294661385549367,0.1819301236414299,0.5008868122286982,0.37331172699310866,0.44231952933766583,0.6267556484563456,0.3516716918364265,0.46954486460367906,1.872,"Architects, Except Landscape and Naval",mult-5.1.0,2026-07-29
171012,22.6,79870.0,0.851497102294974,0.14907687694559238,0.24776823799999154,0.7699917563971236,0.42640425901149115,0.3091942341001161,0.6431081327960594,0.5039621207266,0.46826252770653853,1.867,Landscape Architects,mult-5.1.0,2026-07-29
171021,14.3,81390.0,0.6489084071358757,0.11746973356973933,0.25611564809139375,0.7856452518055435,0.5899741413220744,0.3750411543251408,0.7761469189358795,0.7149476863081937,0.4540000067285247,1.815,Cartographers and Photogrammetrists,mult-5.1.0,2026-07-29
171022,58.6,75440.0,0.8151044457362377,0.3313621833829281,0.21611163928870042,0.6656558777365555,0.517602195246122,0.45949698678767226,0.40731448717107854,0.4609256174417452,0.4858256117847798,1.933,Surveyors,mult-5.1.0,2026-07-29
172011,75.9,134960.0,0.8890207247990212,0.22165261622789542,0.20071549629191798,0.8527845509496845,0.664874144906022,0.3106256888876165,0.6387150806921099,0.7037069827304898,0.5381892164376862,2.145,Aerospace Engineers,mult-5.1.0,2026-07-29
172021,1.8,98590.0,0.8723557468263428,0.28745473453509773,0.18016598039155843,0.834015097311003,0.588282296703758,0.3592951516626347,0.49886813505750544,0.607134006060351,0.5213871052750767,2.074,Agricultural Engineers,mult-5.1.0,2026-07-29
172031,23.3,109370.0,0.8822325466270252,0.27990165419605567,0.1730880741818493,0.9382195560422236,0.7364065283226285,0.2691135000501008,0.7015583053268841,0.812472404319513,0.5723808934533696,2.295,Bioengineers and Biomedical Engineers,mult-5.1.0,2026-07-29
172041,22.1,125040.0,0.7225302722311342,0.2928566923001386,0.11313836663814426,0.9044609016494661,0.6171969415982997,0.5926222820252219,0.7664099410376928,0.9407836639149376,0.5477968440507381,2.186,Chemical Engineers,mult-5.1.0,2026-07-29
172051,387.5,100840.0,0.8616947465231192,0.2586621584889722,0.19563706503193035,0.7737214794482223,0.18952000576941042,0.4914661437085176,0.6977711973791614,0.5001507874020217,0.4873390734360703,1.939,Civil Engineers,mult-5.1.0,2026-07-29
172061,82.4,161740.0,0.8607512062738524,0.10536760134012237,0.20387591165366853,0.8702652744060697,0.4286558878991851,0.21901258248758204,0.8261586711449956,0.6103607724187645,0.4779326376526112,1.903,Computer Hardware Engineers,mult-5.1.0,2026-07-29
172071,205.7,120630.0,0.9149899619428572,0.3330808978972216,0.2019194492341588,0.934046949280251,0.639940002379286,0.5983481011752242,0.5161675182743343,0.859739562840186,0.6130859936140408,2.488,Electrical Engineers,mult-5.1.0,2026-07-29
172072,101.8,130220.0,0.8837797552332645,0.13732477358144643,0.1858254409707636,0.9324954684062063,0.35199558853957946,0.3600108790563849,0.5602194123534734,0.566491412459979,0.4782530612744884,1.904,"Electronics Engineers, Except Computer",mult-5.1.0,2026-07-29
172081,41.0,107110.0,0.8037910705209875,0.3033191808083237,0.24248232724369578,0.8347236055883533,0.47291540828662004,0.4623598963626734,0.6730042969391812,0.6832015312209825,0.5362639646123619,2.136,Environmental Engineers,mult-5.1.0,2026-07-29
172111,24.9,115160.0,0.8329201911611146,0.28992511784178326,0.18534615529126564,0.9707775421184787,0.3438655722049496,0.538942727493952,0.59810828000296,0.7134727301106012,0.5377947503946836,2.143,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",mult-5.1.0,2026-07-29
172112,389.6,102440.0,0.8141556624760622,0.346076298498079,0.2846834226022369,0.9754346675237391,0.1630206226820634,0.4287207088564109,0.5716168892307703,0.531020888387222,0.5204576799845912,2.071,Industrial Engineers,mult-5.1.0,2026-07-29
172121,9.0,112230.0,0.8128947420013012,0.40553422632865105,0.23314632136320754,0.7572577981896009,0.5801480918508126,0.5568359123377087,0.405106627775898,0.6203944299504757,0.5469798509428135,2.182,Marine Engineers and Naval Architects,mult-5.1.0,2026-07-29
172131,24.3,112860.0,0.8600009953967197,0.2969524932023436,0.20789916831195876,0.9505938200878119,0.5890839135173931,0.30346841495011384,0.6887142512870179,0.7479843404361534,0.560814340691032,2.243,Materials Engineers,mult-5.1.0,2026-07-29
172141,319.6,104110.0,0.8298853320125411,0.25180979756114774,0.22308801063680792,0.9379596417734232,0.31283782862948084,0.3249402367626218,0.5584683705235282,0.5253974278618085,0.487885008086863,1.941,Mechanical Engineers,mult-5.1.0,2026-07-29
172151,7.0,106220.0,0.9217415289047421,0.38514454865475006,0.12669071121613507,0.8094519562683393,0.5913829712211538,0.4924204469001846,0.5163985561691727,0.6789878777245563,0.5678937075094762,2.275,"Mining and Geological Engineers, Including Mining Safety Engineers",mult-5.1.0,2026-07-29
172161,15.3,133970.0,0.8616727980900714,0.35498052995865637,0.0818364628130348,0.879412626850828,0.696744572112088,0.4981462660501867,0.7272307470193314,0.8953719201654519,0.5874572445206554,2.364,Nuclear Engineers,mult-5.1.0,2026-07-29
172171,19.8,144910.0,0.8949650802080249,0.1705305365016816,0.1506338990087741,0.7455590672205213,0.5415940318797793,0.5267753618001975,0.763482449896316,0.7417909446996297,0.5266966741644901,2.096,Petroleum Engineers,mult-5.1.0,2026-07-29
172199,162.1,122930.0,0.8489892127497264,0.24490025642955898,0.14428772589878788,0.9389556238830777,0.001319350029109212,0.4485821440329807,0.5638421856188994,0.4168904727789422,0.4490019913068008,1.797,"Engineers, All Other",mult-5.1.0,2026-07-29
173012,20.4,76870.0,0.7555624788950001,0.2122957954592232,0.18018690765551584,0.9151676649325581,0.7433276466769365,0.4208477075251578,0.6075474632062732,0.8456608889884633,0.5271952963115248,2.098,Electrical and Electronics Drafters,mult-5.1.0,2026-07-29
173013,40.1,71550.0,0.8010983066601908,0.11232649279222094,0.16452790991455765,0.9479951553886923,0.6320845344155512,0.3292346011251237,0.5086953584229031,0.7013606789004493,0.47665686690413633,1.898,Mechanical Drafters,mult-5.1.0,2026-07-29
173021,10.1,82890.0,0.6952620781666643,0.3636194276289613,0.36960830122606597,0.8199826640586851,0.6475211781326269,0.7772799496127913,0.5059646019976288,0.8844139281882724,0.5945086226495209,2.398,Aerospace Engineering and Operations Technologists and Technicians,mult-5.1.0,2026-07-29
173022,66.2,64950.0,0.9004409287697664,0.3784959852516233,0.2696007006209671,0.7506590489257725,0.5051171613116852,0.4079646144376529,0.4183609236629735,0.4887829233410512,0.540872145903292,2.156,Civil Engineering Technologists and Technicians,mult-5.1.0,2026-07-29
173024,15.1,73900.0,0.8040743977017138,0.4727705366319003,0.2725059945466892,0.9506763125225985,0.6475281259253531,0.5926222820252222,0.2969726353050639,0.7683931061234819,0.6060144289086975,2.453,Electro-Mechanical and Mechatronics Technologists and Technicians,mult-5.1.0,2026-07-29
173025,13.0,59920.0,0.7599001289656101,0.4060106361266459,0.26648238203002483,0.7679289901583831,0.5723562556000711,0.5181866330751944,0.30970766618202256,0.5549776445145291,0.5215135852559818,2.075,Environmental Engineering Technologists and Technicians,mult-5.1.0,2026-07-29
173026,75.9,66120.0,0.8457715369426225,0.36321580266121584,0.2645137552880801,0.9742244882100061,0.518727634015203,0.5239124522251963,0.40482041749287057,0.719028200538144,0.5771952129402428,2.317,Industrial Engineering Technologists and Technicians,mult-5.1.0,2026-07-29
173027,38.3,74510.0,0.7757568981959575,0.43830460362794127,0.2471681068913968,0.9447216763023968,0.47478460406025136,0.5525415479752072,0.2872956077715515,0.6329179551484302,0.5499663305311594,2.195,Mechanical Engineering Technologists and Technicians,mult-5.1.0,2026-07-29
173029,68.3,78350.0,0.6213576787093004,0.4516546648561948,0.2643596065091731,0.9131002694340586,0.5696789710314192,0.5697190054252136,0.4865570063541285,0.7718579387516988,0.5451573758165982,2.174,"Engineering Technologists and Technicians, Except Drafters, All Other",mult-5.1.0,2026-07-29
191011,2.9,68940.0,0.9074200215089581,0.33972681457924875,0.2443513205070712,0.8884455227637494,0.6551581091372352,0.5239124522251963,0.57229690449106,0.8186672832743837,0.6106947950175098,2.476,Animal Scientists,mult-5.1.0,2026-07-29
