year,tier3,mean_minutes_per_day,label
2003,181399,0.003511,"Travel related to sports, exercise, & recreation, n.e.c."
2003,181401,1.392164,Travel related to religious/spiritual practices
2003,181499,0.000370,"Travel rel. to religious/spiritual activities, n.e.c."
2003,181501,1.024889,Travel related to volunteering
2003,181599,0.011942,"Travel related to volunteer activities, n.e.c."
2003,181601,0.088878,Travel related to phone calls
2003,181699,0.000687,"Travel rel. to phone calls, n.e.c."
2003,181801,0.051936,Security procedures related to traveling
2003,181899,0.016342,"Security procedures related to traveling, n.e.c."
2003,189999,2.829366,"Traveling, n.e.c."
2003,500101,3.381469,Insufficient detail in verbatim
2003,500103,0.598987,Missing travel or destination
2003,500104,1.011710,Recorded simultaneous activities incorrectly
2003,500105,0.213873,Respondent refused to provide information/none of your business
2003,500106,2.696649,Gap/can't remember
2003,500107,0.249853,Unable to code activity at 1st tier
2003,509989,0.289599,"Data codes, n.e.c."
2004,010101,510.018880,Sleeping
2004,010102,2.752743,Sleeplessness
2004,010201,40.042232,"Washing, dressing and grooming oneself"
2004,010299,0.014407,"Grooming, n.e.c."
2004,010301,5.437413,Health-related self care
2004,010399,0.218386,"Self care, n.e.c."
2004,010401,0.501533,Personal/Private activities
2004,010499,0.027472,"Personal activities, n.e.c."
2004,019999,0.000577,"Personal care, n.e.c."
2004,020101,21.118112,Interior cleaning
2004,020102,11.083055,Laundry
2004,020103,1.704688,"Sewing, repairing, & maintaining textiles"
2004,020104,1.536742,"Storing interior hh items, inc. food"
2004,020199,0.039923,"Housework, n.e.c."
2004,020201,23.065612,Food and drink preparation
2004,020202,0.292985,Food presentation
2004,020203,7.582328,Kitchen and food clean-up
2004,020301,5.459804,"Interior arrangement, decoration, & repairs"
2004,020302,0.520438,Building and repairing furniture
2004,020303,0.536931,Heating and cooling
2004,020399,0.012931,"Interior maintenance, repair, & decoration, n.e.c."
2004,020401,1.817158,Exterior cleaning
2004,020402,1.825277,"Exterior repair, improvements, & decoration"
2004,020499,0.010808,"Exterior maintenance, repair & decoration, n.e.c."
2004,020501,11.584533,"Lawn, garden, and houseplant care"
2004,020502,0.207563,"Ponds, pools, and hot tubs"
2004,020599,0.003933,"Lawn and garden, n.e.c."
2004,020681,4.396510,Care for animals and pets (not veterinary care)
2004,020699,0.001989,"Pet and animal care, n.e.c."
2004,020701,3.251165,Vehicle repair and maintenance (by self)
2004,020799,0.003550,"Vehicles, n.e.c."
2004,020801,1.219688,"Appliance, tool, and toy set-up, repair, & maintenance (by self)"
2004,020899,0.001024,"Appliances and tools, n.e.c."
2004,020901,2.386878,Financial management
2004,020902,5.809781,Household & personal organization and planning
2004,020903,1.730428,HH & personal mail & messages (except e-mail)
2004,020904,1.970355,HH & personal e-mail and messages
2004,020905,0.133202,Home security
2004,020999,0.018041,"Household management, n.e.c."
2004,029999,0.418771,"Household activities, n.e.c."
2004,030101,10.205024,Physical care for hh children
2004,030102,0.800831,Reading to/with hh children
2004,030103,5.461514,"Playing with hh children, not sports"
2004,030104,0.052644,Arts and crafts with hh children
2004,030105,0.219384,Playing sports with hh children
2004,030108,0.193341,Organization & planning for hh children
2004,030109,1.876801,Looking after hh children (as a primary activity)
2004,030110,1.230540,Attending hh children's events
2004,030111,0.289623,Waiting for/with hh children
2004,030112,1.133932,Picking up/dropping off hh children
2004,030186,1.086893,Talking with/listening to hh children
2004,030199,0.235512,"Caring for & helping hh children, n.e.c."
2004,030201,1.812801,Homework (hh children)
2004,030202,0.166324,Meetings and school conferences (hh children)
2004,030203,0.208446,Home schooling of hh children
2004,030204,0.000281,Waiting associated with hh children's education
2004,030299,0.020514,"Activities related to hh child's education, n.e.c."
2004,030301,0.255457,Providing medical care to hh children
2004,030302,0.310781,Obtaining medical care for hh children
2004,030303,0.148511,Waiting associated with hh children's health
